,ID,Brand,Name,Colorway,Silhouette,Retail Price,Estimated Market Value,Gender,Release Date,SKU,StockX Link,GOAT Link,Image
578,9a221690-47c6-4839-973f-f9f6691c8f28,puma,Puma Stewie 3 Tokyo Nights (Women's),bright aqua/fluro pink pes/puma black,stewie 3,125,118,women,9/27/2024,380070-01,https://stockx.com/puma-stewie-3-tokyo-nights-womens,https://goat.com/sneakers/wmns-stewie-3-tokyo-nights-380070-01,https://image.goat.com/attachments/product_template_pictures/images/104/638/595/original/1481690_00.png.png
579,a347a7b9-bafc-4964-a450-8c20d341a790,puma,Vis2K 'For All Time Red',for all time red/club red,vis2k,85,85,men,9/27/2024,392318-25,,https://goat.com/sneakers/vis2k-for-all-time-red-392318-25,https://image.goat.com/attachments/product_template_pictures/images/105/612/141/original/392318_25.png.png
580,ac985db7-9e42-4887-a73c-eb209315a1de,puma,Puma Mostro San San Gear Flat Dark Grey,flat dark grey/gray,mostro san san,0,0,men,9/27/2024,400209-02,https://stockx.com/puma-mostro-san-san-gear-flat-dark-grey,,
581,bc1ae7cc-59ad-4a4e-bc6b-7d3510b1d93d,puma,Puma Mostro San San Gear Whisp of Pink,whisp of pink/glacial grey,mostro san san,0,0,men,9/27/2024,400209-03,https://stockx.com/puma-mostro-san-san-gear-whisp-of-pink,,
582,c7cce9ac-19fc-41cb-8e0c-38e0726b23e7,puma,Vis2K 'Cast Iron Ultra Blue',cast iron/black/ultra blue,vis2k,85,85,men,9/27/2024,392318-06,,https://goat.com/sneakers/vis2k-cast-iron-ultra-blue-392318-06,https://image.goat.com/attachments/product_template_pictures/images/105/612/140/original/392318_06.png.png
583,de527a9b-e7cd-479a-875f-d92a570040ee,puma,Deviate Nitro 3 WTR+ 'Black Galactic Grey',black/galactic grey,deviate nitro 3,170,131,men,9/27/2024,310080-01,,https://goat.com/sneakers/deviate-nitro-3-wtr-black-galactic-grey-310080-01,https://image.goat.com/attachments/product_template_pictures/images/104/513/390/original/310080_01.png.png
584,1691272c-808f-41b3-98d0-4949759c51b6,puma,Puma Mostro 3D A$AP Rocky Spikey Pop Red Black,pop red/intense red/black,mostro,250,347,men,9/26/2024,404187-01,https://stockx.com/puma-mostro-3d-a-ap-rocky-spikey-pop-red-black,https://goat.com/sneakers/a-ap-rocky-x-mostro-3d-spikey-pop-red-black-404187-01,https://image.goat.com/attachments/product_template_pictures/images/104/318/320/original/404187_01.png.png
585,20f90596-7154-4dc6-b9c7-44d17748c0ec,puma,Puma Inhale OG A$AP Rocky Distressed Pack Alpine Snow,alpine snow/silver/sand dune,inhale,130,164,men,9/26/2024,401624-01,https://stockx.com/puma-inhale-og-asap-rocky-distressed-pack-alpine-snow,https://goat.com/sneakers/a-ap-rocky-x-inhale-distressed-pack-alpine-snow-401624-01,https://image.goat.com/attachments/product_template_pictures/images/104/527/993/original/1482851_00.png.png
586,7f309ef7-7ad2-4981-8d1f-0efe43dff5db,puma,Roma 24 Standard Toddler 'Black White',black/white,roma,45,45,infant,9/26/2024,399011-01,,https://goat.com/sneakers/roma-24-standard-toddler-black-white-399011-01,https://image.goat.com/attachments/product_template_pictures/images/105/677/972/original/399011_01.png.png
587,8e110e20-8316-4684-85cb-4290f9a1d9c2,puma,Puma Inhale OG A$AP Rocky Distressed Pack Black Pop Red,black/pop red,inhale,130,130,men,9/26/2024,402453-01,https://stockx.com/puma-inhale-og-asap-rocky-distressed-pack-black-pop-red,https://goat.com/sneakers/a-ap-rocky-x-inhale-distressed-pack-black-pop-red-402453-01,https://image.goat.com/attachments/product_template_pictures/images/104/528/034/original/1482886_00.png.png
588,f635a35f-1e3c-4984-a04a-4b076dec0227,puma,Roma 24 Standard Toddler 'Black',black,roma,45,45,infant,9/26/2024,399011-02,,https://goat.com/sneakers/roma-24-standard-toddler-black-399011-02,https://image.goat.com/attachments/product_template_pictures/images/105/677/973/original/399011_02.png.png
